name,team,league
Kiin,Gen.G,LCK
Canyon,Gen.G,LCK
Chovy,Gen.G,LCK
Ruler,Gen.G,LCK
Duro,Gen.G,LCK
Zeus,Hanwha Life Esports,LCK
Peanut,Hanwha Life Esports,LCK
Zeka,Hanwha Life Esports,LCK
Viper,Hanwha Life Esports,LCK
Delight,Hanwha Life Esports,LCK
Doran,T1 ,LCK
Oner,T1 ,LCK
Faker,T1 ,LCK
Gumayusi,T1 ,LCK
Keria,T1 ,LCK
PerfecT,KT Rolster,LCK
Cuzz,KT Rolster,LCK
Bdd,KT Rolster,LCK
deokdam,KT Rolster,LCK
Peter,KT Rolster,LCK
Bin,Bilibili Gaming,LPL
Shad0w,Bilibili Gaming,LPL
Beichuan,Bilibili Gaming,LPL
Knight,Bilibili Gaming,LPL
Elk,Bilibili Gaming,LPL
ON,Bilibili Gaming,LPL
TheShy,Invictus Gaming,LPL
Wei,Invictus Gaming,LPL
RooKie,Invictus Gaming,LPL
GALA,Invictus Gaming,LPL
Meiko,Invictus Gaming,LPL
Flandre,Anyone's Legend,LPL
Tarzan,Anyone's Legend,LPL
Shanks,Anyone's Legend,LPL
Hope,Anyone's Legend,LPL
Kael,Anyone's Legend,LPL
369,Top Esports,LPL
Kanavi,Top Esports,LPL
Creme,Top Esports,LPL
JackeyLove,Top Esports,LPL
Hang,Top Esports,LPL
Bwipo,FlyQuest,LTA
Gakgos,FlyQuest,LTA
Inspired,FlyQuest,LTA
Quad,FlyQuest,LTA
Massu,FlyQuest,LTA
Busio,FlyQuest,LTA
Boal,Vivo Keyd Stars,LTA
Disamis,Vivo Keyd Stars,LTA
Mireu,Vivo Keyd Stars,LTA
Morttheus,Vivo Keyd Stars,LTA
Trymbi,Vivo Keyd Stars,LTA
Dhokla,100 Thieves,LTA
River,100 Thieves,LTA
Quid,100 Thieves,LTA
FBI,100 Thieves,LTA
Eyla,100 Thieves,LTA
Brokenblade,G2 Esports,LEC
SkewMond,G2 Esports,LEC
Caps,G2 Esports,LEC
Hans Sama,G2 Esports,LEC
Labrov,G2 Esports,LEC
Myrwn,Movistar KOI,LEC
Elyoya,Movistar KOI,LEC
jojopyun,Movistar KOI,LEC
Supa,Movistar KOI,LEC
Alvaro,Movistar KOI,LEC
Oscarinin,Fnatic,LEC
Razork,Fnatic,LEC
Poby,Fnatic,LEC
Upset,Fnatic,LEC
Mikyx,Fnatic,LEC
Driver,CTBC Flying Oyster,LCP
Rest,CTBC Flying Oyster,LCP
JunJia,CTBC Flying Oyster,LCP
HongQ,CTBC Flying Oyster,LCP
Doggo,CTBC Flying Oyster,LCP
Kaiwing,CTBC Flying Oyster,LCP
Hiro02,Team Secret Whales,LCP
Pun,Team Secret Whales,LCP
Hizto,Team Secret Whales,LCP
Dire,Team Secret Whales,LCP
Eddie,Team Secret Whales,LCP
Taki,Team Secret Whales,LCP
Azhi,PSG Talon,LCP
Karsa,PSG Talon,LCP
Maple,PSG Talon,LCP
Betty,PSG Talon,LCP
Woody,PSG Talon,LCP
